Date,Price
1990-01-01,352.20001220703125
1990-01-08,339.92999267578125
1990-01-15,339.1499938964844
1990-01-22,325.79998779296875
1990-01-29,330.9200134277344
1990-02-05,333.6199951171875
1990-02-12,332.7200012207031
1990-02-19,324.1499938964844
1990-02-26,335.5400085449219
1990-03-05,337.92999267578125
1990-03-12,341.9100036621094
1990-03-19,337.2200012207031
1990-03-26,339.94000244140625
1990-04-02,340.0799865722656
1990-04-09,344.3399963378906
1990-04-16,335.1199951171875
1990-04-23,329.1099853515625
1990-04-30,338.3900146484375
1990-05-07,352.0
1990-05-14,354.6400146484375
1990-05-21,354.5799865722656
1990-05-28,363.1600036621094
1990-06-04,358.7099914550781
1990-06-11,362.9100036621094
1990-06-18,355.42999267578125
1990-06-25,358.0199890136719
1990-07-02,358.4200134277344
1990-07-09,367.30999755859375
1990-07-16,361.6099853515625
1990-07-23,353.44000244140625
1990-07-30,344.8599853515625
1990-08-06,335.5199890136719
1990-08-13,327.8299865722656
1990-08-20,311.510009765625
1990-08-27,322.55999755859375
1990-09-03,323.3999938964844
1990-09-10,316.8299865722656
1990-09-17,311.32000732421875
1990-09-24,306.04998779296875
1990-10-01,311.5
1990-10-08,300.0299987792969
1990-10-15,312.4800109863281
1990-10-22,304.7099914550781
1990-10-29,311.8500061035156
1990-11-05,313.739990234375
1990-11-12,317.1199951171875
1990-11-19,315.1000061035156
1990-11-26,322.2200012207031
1990-12-03,327.75
1990-12-10,326.82000732421875
1990-12-17,331.75
1990-12-24,328.7200012207031
1990-12-31,321.0
1991-01-07,315.2300109863281
1991-01-14,332.2300109863281
1991-01-21,336.07000732421875
1991-01-28,343.04998779296875
1991-02-04,359.3500061035156
1991-02-11,369.05999755859375
1991-02-18,365.6499938964844
1991-02-25,370.4700012207031
1991-03-04,374.95001220703125
1991-03-11,373.5899963378906
1991-03-18,367.4800109863281
1991-03-25,375.2200012207031
1991-04-01,375.3599853515625
1991-04-08,380.3999938964844
1991-04-15,384.20001220703125
1991-04-22,379.0199890136719
1991-04-29,380.79998779296875
1991-05-06,375.739990234375
1991-05-13,372.3900146484375
1991-05-20,377.489990234375
1991-05-27,389.8299865722656
1991-06-03,379.42999267578125
1991-06-10,382.2900085449219
1991-06-17,377.75
1991-06-24,371.1600036621094
1991-07-01,374.0799865722656
1991-07-08,380.25
1991-07-15,384.2200012207031
1991-07-22,380.92999267578125
1991-07-29,387.17999267578125
1991-08-05,387.1199951171875
1991-08-12,385.5799865722656
1991-08-19,394.1700134277344
1991-08-26,395.42999267578125
1991-09-02,389.1000061035156
1991-09-09,383.5899963378906
1991-09-16,387.9200134277344
1991-09-23,385.8999938964844
1991-09-30,381.25
1991-10-07,381.45001220703125
1991-10-14,392.5
1991-10-21,384.20001220703125
1991-10-28,391.32000732421875
1991-11-04,392.8900146484375
1991-11-11,382.6199951171875
1991-11-18,376.1400146484375
1991-11-25,375.2200012207031
1991-12-02,379.1000061035156
1991-12-09,384.4700012207031
1991-12-16,387.0400085449219
1991-12-23,406.4599914550781
1991-12-30,419.3399963378906
1992-01-06,415.1000061035156
1992-01-13,418.8599853515625
1992-01-20,415.4800109863281
1992-01-27,408.7799987792969
1992-02-03,411.0899963378906
1992-02-10,412.4800109863281
1992-02-17,411.42999267578125
1992-02-24,412.70001220703125
1992-03-02,404.44000244140625
1992-03-09,405.8399963378906
1992-03-16,411.29998779296875
1992-03-23,403.5
1992-03-30,401.54998779296875
1992-04-06,404.2900085449219
1992-04-13,416.0400085449219
1992-04-20,409.0199890136719
1992-04-27,412.5299987792969
1992-05-04,416.04998779296875
1992-05-11,410.0899963378906
1992-05-18,414.0199890136719
1992-05-25,415.3500061035156
1992-06-01,413.4800109863281
1992-06-08,409.760009765625
1992-06-15,403.6700134277344
1992-06-22,403.45001220703125
1992-06-29,411.7699890136719
1992-07-06,414.6199951171875
1992-07-13,415.6199951171875
1992-07-20,411.6000061035156
1992-07-27,424.2099914550781
1992-08-03,418.8800048828125
1992-08-10,419.9100036621094
1992-08-17,414.8500061035156
1992-08-24,414.8399963378906
1992-08-31,417.0799865722656
1992-09-07,419.5799865722656
1992-09-14,422.92999267578125
1992-09-21,414.3500061035156
1992-09-28,410.4700012207031
1992-10-05,402.6600036621094
1992-10-12,411.7300109863281
1992-10-19,414.1000061035156
1992-10-26,418.67999267578125
1992-11-02,417.5799865722656
1992-11-09,422.42999267578125
1992-11-16,426.6499938964844
1992-11-23,430.1600036621094
1992-11-30,432.05999755859375
1992-12-07,433.7300109863281
1992-12-14,441.2799987792969
1992-12-21,439.7699890136719
1992-12-28,435.7099914550781
1993-01-04,429.04998779296875
1993-01-11,437.1499938964844
1993-01-18,436.1099853515625
1993-01-25,438.7799987792969
1993-02-01,448.92999267578125
1993-02-08,444.5799865722656
1993-02-15,434.2200012207031
1993-02-22,443.3800048828125
1993-03-01,446.1099853515625
1993-03-08,449.8299865722656
1993-03-15,450.17999267578125
1993-03-22,447.7799987792969
1993-03-29,441.3900146484375
1993-04-05,441.8399963378906
1993-04-12,448.94000244140625
1993-04-19,437.0299987792969
1993-04-26,440.19000244140625
1993-05-03,442.30999755859375
1993-05-10,439.55999755859375
1993-05-17,445.8399963378906
1993-05-24,450.19000244140625
1993-05-31,450.05999755859375
1993-06-07,447.260009765625
1993-06-14,443.67999267578125
1993-06-21,447.6000061035156
1993-06-28,445.8399963378906
1993-07-05,448.1099853515625
1993-07-12,445.75
1993-07-19,447.1000061035156
1993-07-26,448.1300048828125
1993-08-02,448.67999267578125
1993-08-09,450.1400146484375
1993-08-16,456.1600036621094
1993-08-23,460.5400085449219
1993-08-30,461.3399963378906
1993-09-06,461.7200012207031
1993-09-13,458.8299865722656
1993-09-20,457.6300048828125
1993-09-27,461.2799987792969
1993-10-04,460.30999755859375
1993-10-11,469.5
1993-10-18,463.2699890136719
1993-10-25,467.8299865722656
1993-11-01,459.57000732421875
1993-11-08,465.3900146484375
1993-11-15,462.6000061035156
1993-11-22,463.05999755859375
1993-11-29,464.8900146484375
1993-12-06,463.92999267578125
1993-12-13,466.3800048828125
1993-12-20,467.3800048828125
1993-12-27,466.45001220703125
1994-01-03,469.8999938964844
1994-01-10,474.9100036621094
1994-01-17,474.7200012207031
1994-01-24,478.70001220703125
1994-01-31,469.80999755859375
1994-02-07,470.17999267578125
1994-02-14,467.69000244140625
1994-02-21,466.07000732421875
1994-02-28,464.739990234375
1994-03-07,466.44000244140625
1994-03-14,471.05999755859375
1994-03-21,460.5799865722656
1994-03-28,445.7699890136719
1994-04-04,447.1000061035156
1994-04-11,446.17999267578125
1994-04-18,447.6300048828125
1994-04-25,450.9100036621094
1994-05-02,447.82000732421875
1994-05-09,444.1400146484375
1994-05-16,454.9200134277344
1994-05-23,457.3299865722656
1994-05-30,460.1300048828125
1994-06-06,458.6700134277344
1994-06-13,458.45001220703125
1994-06-20,442.79998779296875
1994-06-27,446.20001220703125
1994-07-04,449.54998779296875
1994-07-11,454.1600036621094
1994-07-18,453.1099853515625
1994-07-25,458.260009765625
1994-08-01,457.0899963378906
1994-08-08,461.94000244140625
1994-08-15,463.67999267578125
1994-08-22,473.79998779296875
1994-08-29,470.989990234375
1994-09-05,468.17999267578125
1994-09-12,471.19000244140625
1994-09-19,459.6700134277344
1994-09-26,462.7099914550781
1994-10-03,455.1000061035156
1994-10-10,469.1000061035156
1994-10-17,464.8900146484375
1994-10-24,473.7699890136719
1994-10-31,462.2799987792969
1994-11-07,462.3500061035156
1994-11-14,461.4700012207031
1994-11-21,452.2900085449219
1994-11-28,453.29998779296875
1994-12-05,446.9599914550781
1994-12-12,458.79998779296875
1994-12-19,459.8299865722656
1994-12-26,459.2699890136719
1995-01-02,460.67999267578125
1995-01-09,465.9700012207031
1995-01-16,464.7799987792969
1995-01-23,470.3900146484375
1995-01-30,478.6499938964844
1995-02-06,481.4599914550781
1995-02-13,481.9700012207031
1995-02-20,488.1099853515625
1995-02-27,485.4200134277344
1995-03-06,489.57000732421875
1995-03-13,495.5199890136719
1995-03-20,500.9700012207031
1995-03-27,500.7099914550781
1995-04-03,506.4200134277344
1995-04-10,509.2300109863281
1995-04-17,508.489990234375
1995-04-24,514.7100219726562
1995-05-01,520.1199951171875
1995-05-08,525.5499877929688
1995-05-15,519.1900024414062
1995-05-22,523.6500244140625
1995-05-29,532.510009765625
1995-06-05,527.9400024414062
1995-06-12,539.8300170898438
1995-06-19,549.7100219726562
1995-06-26,544.75
1995-07-03,556.3699951171875
1995-07-10,559.8900146484375
1995-07-17,553.6199951171875
1995-07-24,562.9299926757812
1995-07-31,558.9400024414062
1995-08-07,555.1099853515625
1995-08-14,559.2100219726562
1995-08-21,560.0999755859375
1995-08-28,563.8400268554688
1995-09-04,572.6799926757812
1995-09-11,583.3499755859375
1995-09-18,581.72998046875
1995-09-25,584.4099731445312
1995-10-02,582.489990234375
1995-10-09,584.5
1995-10-16,587.4600219726562
1995-10-23,579.7000122070312
1995-10-30,590.5700073242188
1995-11-06,592.719970703125
1995-11-13,600.0700073242188
