Date,Price
1990-01-01,458.20001220703125
1990-01-08,439.70001220703125
1990-01-15,440.8999938964844
1990-01-22,421.29998779296875
1990-01-29,422.20001220703125
1990-02-05,428.79998779296875
1990-02-12,429.0
1990-02-19,419.5
1990-02-26,431.0
1990-03-05,436.79998779296875
1990-03-12,442.20001220703125
1990-03-19,437.29998779296875
1990-03-26,435.5
1990-04-02,430.8999938964844
1990-04-09,436.29998779296875
1990-04-16,425.79998779296875
1990-04-23,418.0
1990-04-30,428.6000061035156
1990-05-07,438.1000061035156
1990-05-14,448.29998779296875
1990-05-21,453.70001220703125
1990-05-28,462.1000061035156
1990-06-04,460.8999938964844
1990-06-11,467.6000061035156
1990-06-18,459.29998779296875
1990-06-25,462.29998779296875
1990-07-02,460.5
1990-07-09,468.3999938964844
1990-07-16,455.29998779296875
1990-07-23,442.6000061035156
1990-07-30,417.5
1990-08-06,408.0
1990-08-13,393.5
1990-08-20,367.29998779296875
1990-08-27,381.20001220703125
1990-09-03,380.3999938964844
1990-09-10,374.3999938964844
1990-09-17,362.29998779296875
1990-09-24,344.5
1990-10-01,347.3999938964844
1990-10-08,327.6000061035156
1990-10-15,337.3999938964844
1990-10-22,334.3999938964844
1990-10-29,336.5
1990-11-05,342.0
1990-11-12,350.8999938964844
1990-11-19,349.0
1990-11-26,359.1000061035156
1990-12-03,371.5
1990-12-10,368.79998779296875
1990-12-17,373.6000061035156
1990-12-24,371.20001220703125
1990-12-31,367.20001220703125
1991-01-07,361.79998779296875
1991-01-14,377.0
1991-01-21,394.29998779296875
1991-01-28,417.70001220703125
1991-02-04,436.79998779296875
1991-02-11,448.70001220703125
1991-02-18,449.0
1991-02-25,456.70001220703125
1991-03-04,475.1099853515625
1991-03-11,466.2900085449219
1991-03-18,464.1499938964844
1991-03-25,482.29998779296875
1991-04-01,495.7900085449219
1991-04-08,501.6199951171875
1991-04-15,501.19000244140625
1991-04-22,494.6400146484375
1991-04-29,492.1000061035156
1991-05-06,493.4200134277344
1991-05-13,481.3800048828125
1991-05-20,492.6700134277344
1991-05-27,506.1099853515625
1991-06-03,498.5400085449219
1991-06-10,495.07000732421875
1991-06-17,485.82000732421875
1991-06-24,475.9200134277344
1991-07-01,474.04998779296875
1991-07-08,492.7099914550781
1991-07-15,497.54998779296875
1991-07-22,492.69000244140625
1991-07-29,505.6700134277344
1991-08-05,508.30999755859375
1991-08-12,512.469970703125
1991-08-19,521.0599975585938
1991-08-26,525.6799926757812
1991-09-02,516.9400024414062
1991-09-09,516.7100219726562
1991-09-16,527.1900024414062
1991-09-23,524.47998046875
1991-09-30,520.4000244140625
1991-10-07,519.0499877929688
1991-10-14,538.9000244140625
1991-10-21,525.1300048828125
1991-10-28,540.9299926757812
1991-11-04,548.0800170898438
1991-11-11,531.2899780273438
1991-11-18,526.4600219726562
1991-11-25,523.9000244140625
1991-12-02,536.2999877929688
1991-12-09,540.9000244140625
1991-12-16,535.760009765625
1991-12-23,565.7100219726562
1991-12-30,592.6500244140625
1992-01-06,615.7000122070312
1992-01-13,626.8499755859375
1992-01-20,624.6799926757812
1992-01-27,620.2100219726562
1992-02-03,634.9500122070312
1992-02-10,636.4299926757812
1992-02-17,629.75
1992-02-24,633.469970703125
1992-03-02,615.9500122070312
1992-03-09,618.6199951171875
1992-03-16,624.280029296875
1992-03-23,604.6699829101562
1992-03-30,590.010009765625
1992-04-06,584.239990234375
1992-04-13,591.8099975585938
1992-04-20,572.8900146484375
1992-04-27,578.1400146484375
1992-05-04,585.760009765625
1992-05-11,574.4299926757812
1992-05-18,580.2999877929688
1992-05-25,585.3099975585938
1992-06-01,585.4299926757812
1992-06-08,569.52001953125
1992-06-15,554.2000122070312
1992-06-22,547.8400268554688
1992-06-29,563.3499755859375
1992-07-06,567.7999877929688
1992-07-13,570.52001953125
1992-07-20,565.6099853515625
1992-07-27,580.8300170898438
1992-08-03,573.739990234375
1992-08-10,573.1799926757812
1992-08-17,563.7000122070312
1992-08-24,563.5599975585938
1992-08-31,573.4400024414062
1992-09-07,583.010009765625
1992-09-14,589.1199951171875
1992-09-21,577.2000122070312
1992-09-28,571.6300048828125
1992-10-05,570.52001953125
1992-10-12,582.6099853515625
1992-10-19,597.2999877929688
1992-10-26,605.1699829101562
1992-11-02,616.8200073242188
1992-11-09,637.1599731445312
1992-11-16,642.5999755859375
1992-11-23,649.489990234375
1992-11-30,661.5999755859375
1992-12-07,655.7899780273438
1992-12-14,661.2899780273438
1992-12-21,665.8800048828125
1992-12-28,676.9500122070312
1993-01-04,677.2100219726562
1993-01-11,697.1500244140625
1993-01-18,701.6300048828125
1993-01-25,696.3400268554688
1993-02-01,700.97998046875
1993-02-08,690.5399780273438
1993-02-15,663.6099853515625
1993-02-22,670.77001953125
1993-03-01,681.3699951171875
1993-03-08,692.780029296875
1993-03-15,682.719970703125
1993-03-22,681.5399780273438
1993-03-29,669.8499755859375
1993-04-05,666.3300170898438
1993-04-12,666.780029296875
1993-04-19,658.4099731445312
1993-04-26,661.4199829101562
1993-05-03,681.4400024414062
1993-05-10,676.3699951171875
1993-05-17,694.2899780273438
1993-05-24,700.530029296875
1993-05-31,702.010009765625
1993-06-07,693.1900024414062
1993-06-14,689.5900268554688
1993-06-21,694.8099975585938
1993-06-28,704.489990234375
1993-07-05,705.8099975585938
1993-07-12,699.72998046875
1993-07-19,700.239990234375
1993-07-26,704.7000122070312
1993-08-02,718.0800170898438
1993-08-09,718.260009765625
1993-08-16,730.9600219726562
1993-08-23,734.0700073242188
1993-08-30,749.7100219726562
1993-09-06,744.3099975585938
1993-09-13,740.1099853515625
1993-09-20,754.6500244140625
1993-09-27,763.22998046875
1993-10-04,764.27001953125
1993-10-11,787.4199829101562
1993-10-18,772.6799926757812
1993-10-25,779.260009765625
1993-11-01,762.989990234375
1993-11-08,779.3200073242188
1993-11-15,751.5599975585938
1993-11-22,754.8699951171875
1993-11-29,772.219970703125
1993-12-06,760.739990234375
1993-12-13,759.22998046875
1993-12-20,758.7000122070312
1993-12-27,776.7999877929688
1994-01-03,782.9400024414062
1994-01-10,792.3099975585938
1994-01-17,794.280029296875
1994-01-24,796.530029296875
1994-01-31,777.280029296875
1994-02-07,781.3900146484375
1994-02-14,788.8499755859375
1994-02-21,783.780029296875
1994-02-28,790.5499877929688
1994-03-07,789.2000122070312
1994-03-14,803.9299926757812
1994-03-21,783.4500122070312
1994-03-28,743.4600219726562
1994-04-04,748.7100219726562
1994-04-11,727.969970703125
1994-04-18,722.5599975585938
1994-04-25,733.8400268554688
1994-05-02,732.8599853515625
1994-05-09,716.9199829101562
