Date,Price
1992-01-01,3204.800048828125
1992-01-08,3246.199951171875
1992-01-15,3223.39990234375
1992-01-22,3272.10009765625
1992-01-29,3272.800048828125
1992-02-05,3251.60009765625
1992-02-12,3224.699951171875
1992-02-19,3257.800048828125
1992-02-26,3290.300048828125
1992-03-04,3231.0
1992-03-11,3256.0
1992-03-18,3261.0
1992-03-25,3235.5
1992-04-01,3213.60009765625
1992-04-08,3306.10009765625
1992-04-15,3343.300048828125
1992-04-22,3307.89990234375
1992-04-29,3359.39990234375
1992-05-06,3385.10009765625
1992-05-13,3398.0
1992-05-20,3364.199951171875
1992-05-27,3396.10009765625
1992-06-03,3369.89990234375
1992-06-10,3329.5
1992-06-17,3285.60009765625
1992-06-24,3318.5
1992-07-01,3295.199951171875
1992-07-08,3358.39990234375
1992-07-15,3308.39990234375
1992-07-22,3334.10009765625
1992-07-29,3384.300048828125
1992-08-05,3331.10009765625
1992-08-12,3329.5
1992-08-19,3232.199951171875
1992-08-26,3266.260009765625
1992-09-02,3260.60009765625
1992-09-09,3327.300048828125
1992-09-16,3280.89990234375
1992-09-23,3266.800048828125
1992-09-30,3178.199951171875
1992-10-07,3201.39990234375
1992-10-14,3186.0
1992-10-21,3235.699951171875
1992-10-28,3252.5
1992-11-04,3225.5
1992-11-11,3193.300048828125
1992-11-18,3248.699951171875
1992-11-25,3294.39990234375
1992-12-02,3322.199951171875
1992-12-09,3284.39990234375
1992-12-16,3321.10009765625
1992-12-23,3310.800048828125
1992-12-30,3307.89990234375
1993-01-06,3264.60009765625
1993-01-13,3256.0
1993-01-20,3299.0
1993-01-27,3328.699951171875
1993-02-03,3414.60009765625
1993-02-10,3309.5
1993-02-17,3323.27001953125
1993-02-24,3400.530029296875
1993-03-03,3472.1201171875
1993-03-10,3442.949951171875
1993-03-17,3461.860107421875
1993-03-24,3457.27001953125
1993-03-31,3377.570068359375
1993-04-07,3444.030029296875
1993-04-14,3443.489990234375
1993-04-21,3415.929931640625
1993-04-28,3446.18994140625
1993-05-05,3468.75
1993-05-12,3444.389892578125
1993-05-19,3516.6298828125
1993-05-26,3552.340087890625
1993-06-02,3510.5400390625
1993-06-09,3492.0
1993-06-16,3497.530029296875
1993-06-23,3518.85009765625
1993-06-30,3449.929931640625
1993-07-07,3515.43994140625
1993-07-14,3544.780029296875
1993-07-21,3565.4599609375
1993-07-28,3561.27001953125
1993-08-04,3572.72998046875
1993-08-11,3586.97998046875
1993-08-18,3638.9599609375
1993-08-25,3651.25
1993-09-01,3607.10009765625
1993-09-08,3615.760009765625
1993-09-15,3537.239990234375
1993-09-22,3566.02001953125
1993-09-29,3587.260009765625
1993-10-06,3593.1298828125
1993-10-13,3635.320068359375
1993-10-20,3672.489990234375
1993-10-27,3697.639892578125
1993-11-03,3640.070068359375
1993-11-10,3710.77001953125
1993-11-17,3674.169921875
1993-11-24,3683.949951171875
1993-12-01,3718.8798828125
1993-12-08,3742.6298828125
1993-12-15,3745.14990234375
1993-12-22,3793.77001953125
1993-12-29,3783.89990234375
1994-01-05,3850.31005859375
1994-01-12,3870.2900390625
1994-01-19,3895.340087890625
1994-01-26,3964.010009765625
1994-02-02,3906.030029296875
1994-02-09,3928.27001953125
1994-02-16,3911.659912109375
1994-02-23,3809.22998046875
1994-03-02,3851.719970703125
1994-03-09,3849.590087890625
1994-03-16,3862.550048828125
1994-03-23,3699.02001953125
1994-03-30,3675.409912109375
1994-04-06,3681.68994140625
1994-04-13,3619.820068359375
1994-04-20,3699.5400390625
1994-04-27,3714.409912109375
1994-05-04,3656.409912109375
1994-05-11,3720.610107421875
1994-05-18,3745.169921875
1994-05-25,3758.3701171875
1994-06-01,3755.909912109375
1994-06-08,3814.830078125
1994-06-15,3707.969970703125
1994-06-22,3669.639892578125
1994-06-29,3652.47998046875
1994-07-06,3702.659912109375
1994-07-13,3748.31005859375
1994-07-20,3735.679931640625
1994-07-27,3796.219970703125
1994-08-03,3755.760009765625
1994-08-10,3784.570068359375
1994-08-17,3775.830078125
1994-08-24,3917.300048828125
1994-08-31,3898.699951171875
1994-09-07,3879.860107421875
1994-09-14,3869.090087890625
1994-09-21,3863.0400390625
1994-09-28,3801.1298828125
1994-10-05,3876.830078125
1994-10-12,3917.5400390625
1994-10-19,3850.590087890625
1994-10-26,3863.3701171875
1994-11-02,3830.739990234375
1994-11-09,3826.360107421875
1994-11-16,3677.989990234375
1994-11-23,3738.550048828125
1994-11-30,3745.949951171875
1994-12-07,3715.340087890625
1994-12-14,3767.14990234375
1994-12-21,3861.68994140625
1994-12-28,3838.47998046875
1995-01-04,3866.739990234375
1995-01-11,3930.659912109375
1995-01-18,3862.699951171875
1995-01-25,3843.860107421875
1995-02-01,3937.389892578125
1995-02-08,3958.25
1995-02-15,3963.969970703125
1995-02-22,4011.050048828125
1995-03-01,3962.6298828125
1995-03-08,4048.75
1995-03-15,4072.610107421875
1995-03-22,4151.81005859375
1995-03-29,4201.60986328125
1995-04-05,4187.080078125
1995-04-12,4179.1298828125
1995-04-19,4300.169921875
1995-04-26,4328.8798828125
1995-05-03,4390.77978515625
1995-05-10,4435.0498046875
1995-05-17,4436.43994140625
1995-05-24,4378.68017578125
